 AC_NAME , CANDIDATE_NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , %_VOTES_POLLED , TOTAL_ELECTORS 
Dahanu ,7 Dhi.Santosh Kisan Pagi,MALE,30,ST,APoI,Coat,2647,1,2648,1.59536332471789,272085
Dahanu ,8 Ramesh Janu Malavkar,MALE,54,ST,IND,Bat,2235,7,2242,1.35075701435707,272085
Dahanu ,9 Adv. Pravin Navsha Valvi,MALE,37,ST,BTP,Auto- Rickshaw,2065,4,2069,1.24652821708509,272085
Dahanu ,10 Vijay Kakdya Ghorkhana,MALE,26,ST,BMUP,Cot,1464,3,1467,0.883836101722486,272085
Dahanu ,11 Shilanand Beena Katela,MALE,35,ST,VBA,Gas Cylinder,1384,,1384,0.833830378175815,272085
,,,,,,,165816,165,165981,61.0033629196759,
Vikramgad ,1 Bhusara Sunil Chandrakant,MALE,40,ST,NCP,Clock,88264,161,88425,48.3616913055606,266576
Vikramgad ,2 Dr.Hemant Vishnu Savara,MALE,42,ST,BJP,Lotus,66905,121,67026,36.6580799711224,266576
Vikramgad ,3 NOTA,,,,NOTA,NOTA,8489,6,8495,4.64611328968886,266576
Vikramgad ,4 Kama Dharma Tabale,MALE,63,ST,RMPOI,Pot,4031,1,4032,2.20519467734261,266576
Vikramgad ,5 Bhoir Suresh Bhau,MALE,36,ST,CPI,Ears of Corn And Sickle,3881,1,3882,2.12315618488195,266576
Vikramgad ,6 Bhalchandra Navsu Morgha,MALE,43,ST,IND,Tractor Chalata Kissan,2768,3,2771,1.51552441738997,266576
Vikramgad ,7 Com. Sakharam Bhoi,MALE,52,ST,MLPOIRF,Whistle,2043,,2043,1.11736426731422,266576
Vikramgad ,8 Santosh Ramdas Wagh,MALE,35,ST,VBA,Gas Cylinder,1747,4,1751,0.957662668657467,266576
Vikramgad ,9 Adv. Pramod Yedu Doke,MALE,29,ST,IND,Rubber Stamp,1649,10,1659,0.907345726614928,266576
Vikramgad ,10 Mohan Baraku Guhe,MALE,47,ST,BTP,Auto- Rickshaw,1479,2,1481,0.809993382228275,266576
Vikramgad ,11 Sanjay Raghunath Ghatal,MALE,38,ST,BSP,Elephant,1274,2,1276,0.697874109198703,266576
,,,,,,,182530,311,182841,68.5886951563532,
Palghar ,1 SHRINIVAS CHINTAMAN VANGA,MALE,37,ST,SHS,Bow and Arrow,67835,205,68040,52.5843947075553,274026
Palghar ,2 YOGESH SHANKAR NAM,MALE,41,ST,INC,Hand,27687,48,27735,21.4348645975022,274026
Palghar ,3 UMESH GOPAL GOVARI,MALE,29,ST,MNS,Railway Engine,12794,25,12819,9.90710399406455,274026
Palghar ,4 VIRAJ RAMCHANDRA GADAG,MALE,30,ST,VBA,Gas Cylinder,11461,8,11469,8.8637628292321,274026
Palghar ,5 NOTA,,,,NOTA,NOTA,7117,18,7135,5.5142512674663,274026
Palghar ,6 JADHAV SURESH GANESH,MALE,29,ST,BSP,Elephant,2192,2,2194,1.69562260417955,274026
,,,,,,,129086,306,129392,47.2188770408647,
Boisar ,1 Rajesh Raghunath Patil,MALE,44,ST,BVA,Whistle,78671,32,78703,36.9754571251386,315434
Boisar ,2 Tare Vilas Sukur,MALE,47,ST,SHS,Bow and Arrow,75898,53,75951,35.6825399808317,315434
